_id,beachId,beachName,siteName,collectionDate,eColi,comments,geometry
43,2,Sunnyside Beach,17W,2023-09-07,NA,No data,"c(-79.451, 43.63639)"
44,2,Sunnyside Beach,20W,2023-09-07,NA,No data,"c(-79.45564, 43.637165)"
45,2,Sunnyside Beach,21W,2023-09-07,NA,No data,"c(-79.45753, 43.63711)"
46,2,Sunnyside Beach,18W,2023-09-07,NA,No data,"c(-79.45267, 43.636612)"
47,2,Sunnyside Beach,22W,2023-09-07,NA,No data,"c(-79.46005, 43.636723)"
48,2,Sunnyside Beach,19W,2023-09-07,NA,No data,"c(-79.45411, 43.63711)"
49,1,Marie Curtis Park East Beach,29W,2023-09-06,NA,No data,"c(-79.539696, 43.58592)"
50,1,Marie Curtis Park East Beach,32W,2023-09-06,NA,No data,"c(-79.54056, 43.58511)"
51,1,Marie Curtis Park East Beach,33W,2023-09-06,NA,No data,"c(-79.540886, 43.58486)"
52,1,Marie Curtis Park East Beach,31W,2023-09-06,NA,No data,"c(-79.54039, 43.585304)"
53,1,Marie Curtis Park East Beach,30W,2023-09-06,NA,No data,"c(-79.540054, 43.58561)"
54,2,Sunnyside Beach,23W,2023-09-06,NA,No data,"c(-79.461525, 43.63625)"
55,2,Sunnyside Beach,17W,2023-09-06,NA,No data,"c(-79.451, 43.63639)"
56,2,Sunnyside Beach,20W,2023-09-06,NA,No data,"c(-79.45564, 43.637165)"
57,2,Sunnyside Beach,21W,2023-09-06,NA,No data,"c(-79.45753, 43.63711)"
58,2,Sunnyside Beach,18W,2023-09-06,NA,No data,"c(-79.45267, 43.636612)"
59,2,Sunnyside Beach,22W,2023-09-06,NA,No data,"c(-79.46005, 43.636723)"
60,2,Sunnyside Beach,19W,2023-09-06,NA,No data,"c(-79.45411, 43.63711)"
61,1,Marie Curtis Park East Beach,29W,2023-09-05,NA,No data,"c(-79.539696, 43.58592)"
62,1,Marie Curtis Park East Beach,32W,2023-09-05,NA,No data,"c(-79.54056, 43.58511)"
63,1,Marie Curtis Park East Beach,33W,2023-09-05,NA,No data,"c(-79.540886, 43.58486)"
64,1,Marie Curtis Park East Beach,31W,2023-09-05,NA,No data,"c(-79.54039, 43.585304)"
65,1,Marie Curtis Park East Beach,30W,2023-09-05,NA,No data,"c(-79.540054, 43.58561)"
66,2,Sunnyside Beach,23W,2023-09-05,NA,No data,"c(-79.461525, 43.63625)"
67,2,Sunnyside Beach,17W,2023-09-05,NA,No data,"c(-79.451, 43.63639)"
68,2,Sunnyside Beach,20W,2023-09-05,NA,No data,"c(-79.45564, 43.637165)"
69,2,Sunnyside Beach,21W,2023-09-05,NA,No data,"c(-79.45753, 43.63711)"
70,2,Sunnyside Beach,18W,2023-09-05,NA,No data,"c(-79.45267, 43.636612)"
71,2,Sunnyside Beach,22W,2023-09-05,NA,No data,"c(-79.46005, 43.636723)"
72,2,Sunnyside Beach,19W,2023-09-05,NA,No data,"c(-79.45411, 43.63711)"
73,1,Marie Curtis Park East Beach,29W,2023-09-04,40,None,"c(-79.539696, 43.58592)"
74,1,Marie Curtis Park East Beach,32W,2023-09-04,40,None,"c(-79.54056, 43.58511)"
75,1,Marie Curtis Park East Beach,33W,2023-09-04,50,None,"c(-79.540886, 43.58486)"
76,1,Marie Curtis Park East Beach,31W,2023-09-04,20,None,"c(-79.54039, 43.585304)"
77,1,Marie Curtis Park East Beach,30W,2023-09-04,50,None,"c(-79.540054, 43.58561)"
78,2,Sunnyside Beach,23W,2023-09-04,NA,No data,"c(-79.461525, 43.63625)"
79,2,Sunnyside Beach,17W,2023-09-04,130,None,"c(-79.451, 43.63639)"
80,2,Sunnyside Beach,20W,2023-09-04,180,None,"c(-79.45564, 43.637165)"
81,2,Sunnyside Beach,21W,2023-09-04,40,None,"c(-79.45753, 43.63711)"
82,2,Sunnyside Beach,18W,2023-09-04,180,None,"c(-79.45267, 43.636612)"
83,2,Sunnyside Beach,22W,2023-09-04,200,None,"c(-79.46005, 43.636723)"
84,2,Sunnyside Beach,19W,2023-09-04,140,None,"c(-79.45411, 43.63711)"
85,1,Marie Curtis Park East Beach,29W,2023-09-03,60,None,"c(-79.539696, 43.58592)"
86,1,Marie Curtis Park East Beach,32W,2023-09-03,20,None,"c(-79.54056, 43.58511)"
87,1,Marie Curtis Park East Beach,33W,2023-09-03,20,None,"c(-79.540886, 43.58486)"
88,1,Marie Curtis Park East Beach,31W,2023-09-03,10,None,"c(-79.54039, 43.585304)"
89,1,Marie Curtis Park East Beach,30W,2023-09-03,50,None,"c(-79.540054, 43.58561)"
90,2,Sunnyside Beach,23W,2023-09-03,NA,None,"c(-79.461525, 43.63625)"
91,2,Sunnyside Beach,17W,2023-09-03,100,None,"c(-79.451, 43.63639)"
92,2,Sunnyside Beach,20W,2023-09-03,270,None,"c(-79.45564, 43.637165)"
93,2,Sunnyside Beach,21W,2023-09-03,160,None,"c(-79.45753, 43.63711)"
94,2,Sunnyside Beach,18W,2023-09-03,560,None,"c(-79.45267, 43.636612)"
95,2,Sunnyside Beach,22W,2023-09-03,200,None,"c(-79.46005, 43.636723)"
96,2,Sunnyside Beach,19W,2023-09-03,310,None,"c(-79.45411, 43.63711)"
97,1,Marie Curtis Park East Beach,29W,2023-09-02,60,None,"c(-79.539696, 43.58592)"
98,1,Marie Curtis Park East Beach,32W,2023-09-02,80,None,"c(-79.54056, 43.58511)"
99,1,Marie Curtis Park East Beach,33W,2023-09-02,30,None,"c(-79.540886, 43.58486)"
100,1,Marie Curtis Park East Beach,31W,2023-09-02,60,None,"c(-79.54039, 43.585304)"
101,1,Marie Curtis Park East Beach,30W,2023-09-02,60,None,"c(-79.540054, 43.58561)"
102,2,Sunnyside Beach,23W,2023-09-02,NA,None,"c(-79.461525, 43.63625)"
103,2,Sunnyside Beach,17W,2023-09-02,150,None,"c(-79.451, 43.63639)"
104,2,Sunnyside Beach,20W,2023-09-02,400,None,"c(-79.45564, 43.637165)"
105,2,Sunnyside Beach,21W,2023-09-02,220,None,"c(-79.45753, 43.63711)"
106,2,Sunnyside Beach,18W,2023-09-02,310,None,"c(-79.45267, 43.636612)"
107,2,Sunnyside Beach,22W,2023-09-02,430,None,"c(-79.46005, 43.636723)"
108,2,Sunnyside Beach,19W,2023-09-02,100,None,"c(-79.45411, 43.63711)"
109,1,Marie Curtis Park East Beach,29W,2023-09-01,40,None,"c(-79.539696, 43.58592)"
110,1,Marie Curtis Park East Beach,32W,2023-09-01,70,None,"c(-79.54056, 43.58511)"
111,1,Marie Curtis Park East Beach,33W,2023-09-01,60,None,"c(-79.540886, 43.58486)"
112,1,Marie Curtis Park East Beach,31W,2023-09-01,40,None,"c(-79.54039, 43.585304)"
113,1,Marie Curtis Park East Beach,30W,2023-09-01,20,None,"c(-79.540054, 43.58561)"
114,2,Sunnyside Beach,23W,2023-09-01,NA,No data,"c(-79.461525, 43.63625)"
115,2,Sunnyside Beach,17W,2023-09-01,250,None,"c(-79.451, 43.63639)"
116,2,Sunnyside Beach,20W,2023-09-01,20,None,"c(-79.45564, 43.637165)"
117,2,Sunnyside Beach,21W,2023-09-01,70,None,"c(-79.45753, 43.63711)"
118,2,Sunnyside Beach,18W,2023-09-01,330,None,"c(-79.45267, 43.636612)"
119,2,Sunnyside Beach,22W,2023-09-01,30,None,"c(-79.46005, 43.636723)"
120,2,Sunnyside Beach,19W,2023-09-01,110,None,"c(-79.45411, 43.63711)"
121,1,Marie Curtis Park East Beach,29W,2023-08-31,1000,>,"c(-79.539696, 43.58592)"
122,1,Marie Curtis Park East Beach,32W,2023-08-31,1000,>,"c(-79.54056, 43.58511)"
123,1,Marie Curtis Park East Beach,33W,2023-08-31,1000,>,"c(-79.540886, 43.58486)"
124,1,Marie Curtis Park East Beach,31W,2023-08-31,1000,>,"c(-79.54039, 43.585304)"
125,1,Marie Curtis Park East Beach,30W,2023-08-31,870,None,"c(-79.540054, 43.58561)"
126,2,Sunnyside Beach,23W,2023-08-31,NA,No data,"c(-79.461525, 43.63625)"
127,2,Sunnyside Beach,17W,2023-08-31,210,None,"c(-79.451, 43.63639)"
128,2,Sunnyside Beach,20W,2023-08-31,90,None,"c(-79.45564, 43.637165)"
129,2,Sunnyside Beach,21W,2023-08-31,80,None,"c(-79.45753, 43.63711)"
130,2,Sunnyside Beach,18W,2023-08-31,230,None,"c(-79.45267, 43.636612)"
131,2,Sunnyside Beach,22W,2023-08-31,170,None,"c(-79.46005, 43.636723)"
132,2,Sunnyside Beach,19W,2023-08-31,40,None,"c(-79.45411, 43.63711)"
133,1,Marie Curtis Park East Beach,29W,2023-08-30,120,None,"c(-79.539696, 43.58592)"
134,1,Marie Curtis Park East Beach,32W,2023-08-30,80,None,"c(-79.54056, 43.58511)"
135,1,Marie Curtis Park East Beach,33W,2023-08-30,70,None,"c(-79.540886, 43.58486)"
136,1,Marie Curtis Park East Beach,31W,2023-08-30,90,None,"c(-79.54039, 43.585304)"
137,1,Marie Curtis Park East Beach,30W,2023-08-30,130,None,"c(-79.540054, 43.58561)"
138,2,Sunnyside Beach,23W,2023-08-30,NA,No data,"c(-79.461525, 43.63625)"
139,2,Sunnyside Beach,17W,2023-08-30,250,None,"c(-79.451, 43.63639)"
140,2,Sunnyside Beach,20W,2023-08-30,130,None,"c(-79.45564, 43.637165)"
141,2,Sunnyside Beach,21W,2023-08-30,140,None,"c(-79.45753, 43.63711)"
142,2,Sunnyside Beach,18W,2023-08-30,200,None,"c(-79.45267, 43.636612)"
143,2,Sunnyside Beach,22W,2023-08-30,290,None,"c(-79.46005, 43.636723)"
144,2,Sunnyside Beach,19W,2023-08-30,160,None,"c(-79.45411, 43.63711)"
145,1,Marie Curtis Park East Beach,29W,2023-08-29,60,None,"c(-79.539696, 43.58592)"
146,1,Marie Curtis Park East Beach,32W,2023-08-29,100,None,"c(-79.54056, 43.58511)"
147,1,Marie Curtis Park East Beach,33W,2023-08-29,120,None,"c(-79.540886, 43.58486)"
148,1,Marie Curtis Park East Beach,31W,2023-08-29,260,None,"c(-79.54039, 43.585304)"
149,1,Marie Curtis Park East Beach,30W,2023-08-29,180,None,"c(-79.540054, 43.58561)"
150,2,Sunnyside Beach,23W,2023-08-29,NA,No data,"c(-79.461525, 43.63625)"
151,2,Sunnyside Beach,17W,2023-08-29,230,None,"c(-79.451, 43.63639)"
152,2,Sunnyside Beach,20W,2023-08-29,200,None,"c(-79.45564, 43.637165)"
153,2,Sunnyside Beach,21W,2023-08-29,590,None,"c(-79.45753, 43.63711)"
154,2,Sunnyside Beach,18W,2023-08-29,230,None,"c(-79.45267, 43.636612)"
155,2,Sunnyside Beach,22W,2023-08-29,460,None,"c(-79.46005, 43.636723)"
156,2,Sunnyside Beach,19W,2023-08-29,90,None,"c(-79.45411, 43.63711)"
157,1,Marie Curtis Park East Beach,29W,2023-08-28,20,None,"c(-79.539696, 43.58592)"
158,1,Marie Curtis Park East Beach,32W,2023-08-28,30,None,"c(-79.54056, 43.58511)"
159,1,Marie Curtis Park East Beach,33W,2023-08-28,10,<,"c(-79.540886, 43.58486)"
160,1,Marie Curtis Park East Beach,31W,2023-08-28,40,None,"c(-79.54039, 43.585304)"
161,1,Marie Curtis Park East Beach,30W,2023-08-28,20,None,"c(-79.540054, 43.58561)"
162,2,Sunnyside Beach,23W,2023-08-28,NA,No data,"c(-79.461525, 43.63625)"
163,2,Sunnyside Beach,17W,2023-08-28,370,None,"c(-79.451, 43.63639)"
164,2,Sunnyside Beach,20W,2023-08-28,110,None,"c(-79.45564, 43.637165)"
165,2,Sunnyside Beach,21W,2023-08-28,70,None,"c(-79.45753, 43.63711)"
166,2,Sunnyside Beach,18W,2023-08-28,370,None,"c(-79.45267, 43.636612)"
167,2,Sunnyside Beach,19W,2023-08-28,100,None,"c(-79.45411, 43.63711)"
168,2,Sunnyside Beach,22W,2023-08-28,60,None,"c(-79.46005, 43.636723)"
169,1,Marie Curtis Park East Beach,29W,2023-08-27,1360,None,"c(-79.539696, 43.58592)"
170,1,Marie Curtis Park East Beach,32W,2023-08-27,800,None,"c(-79.54056, 43.58511)"
171,1,Marie Curtis Park East Beach,33W,2023-08-27,200,None,"c(-79.540886, 43.58486)"
172,1,Marie Curtis Park East Beach,31W,2023-08-27,930,None,"c(-79.54039, 43.585304)"
173,1,Marie Curtis Park East Beach,30W,2023-08-27,960,None,"c(-79.540054, 43.58561)"
174,2,Sunnyside Beach,23W,2023-08-27,NA,None,"c(-79.461525, 43.63625)"
175,2,Sunnyside Beach,17W,2023-08-27,50,None,"c(-79.451, 43.63639)"
176,2,Sunnyside Beach,20W,2023-08-27,210,None,"c(-79.45564, 43.637165)"
177,2,Sunnyside Beach,21W,2023-08-27,350,None,"c(-79.45753, 43.63711)"
178,2,Sunnyside Beach,18W,2023-08-27,120,None,"c(-79.45267, 43.636612)"
179,2,Sunnyside Beach,22W,2023-08-27,300,None,"c(-79.46005, 43.636723)"
180,2,Sunnyside Beach,19W,2023-08-27,270,None,"c(-79.45411, 43.63711)"
181,1,Marie Curtis Park East Beach,29W,2023-08-26,250,None,"c(-79.539696, 43.58592)"
182,1,Marie Curtis Park East Beach,32W,2023-08-26,150,None,"c(-79.54056, 43.58511)"
183,1,Marie Curtis Park East Beach,33W,2023-08-26,120,None,"c(-79.540886, 43.58486)"
184,1,Marie Curtis Park East Beach,31W,2023-08-26,350,None,"c(-79.54039, 43.585304)"
185,1,Marie Curtis Park East Beach,30W,2023-08-26,190,None,"c(-79.540054, 43.58561)"
186,2,Sunnyside Beach,23W,2023-08-26,NA,None,"c(-79.461525, 43.63625)"
187,2,Sunnyside Beach,17W,2023-08-26,130,None,"c(-79.451, 43.63639)"
188,2,Sunnyside Beach,20W,2023-08-26,160,None,"c(-79.45564, 43.637165)"
189,2,Sunnyside Beach,21W,2023-08-26,540,None,"c(-79.45753, 43.63711)"
190,2,Sunnyside Beach,18W,2023-08-26,740,None,"c(-79.45267, 43.636612)"
191,2,Sunnyside Beach,22W,2023-08-26,1060,None,"c(-79.46005, 43.636723)"
192,2,Sunnyside Beach,19W,2023-08-26,230,None,"c(-79.45411, 43.63711)"
193,1,Marie Curtis Park East Beach,29W,2023-08-25,1000,>,"c(-79.539696, 43.58592)"
194,1,Marie Curtis Park East Beach,32W,2023-08-25,40,None,"c(-79.54056, 43.58511)"
195,1,Marie Curtis Park East Beach,33W,2023-08-25,70,None,"c(-79.540886, 43.58486)"
196,1,Marie Curtis Park East Beach,31W,2023-08-25,40,None,"c(-79.54039, 43.585304)"
197,1,Marie Curtis Park East Beach,30W,2023-08-25,60,None,"c(-79.540054, 43.58561)"
198,2,Sunnyside Beach,23W,2023-08-25,NA,No dataa,"c(-79.461525, 43.63625)"
199,2,Sunnyside Beach,17W,2023-08-25,530,None,"c(-79.451, 43.63639)"
200,2,Sunnyside Beach,20W,2023-08-25,660,None,"c(-79.45564, 43.637165)"
201,2,Sunnyside Beach,21W,2023-08-25,890,None,"c(-79.45753, 43.63711)"
202,2,Sunnyside Beach,18W,2023-08-25,680,None,"c(-79.45267, 43.636612)"
203,2,Sunnyside Beach,22W,2023-08-25,930,None,"c(-79.46005, 43.636723)"
204,2,Sunnyside Beach,19W,2023-08-25,170,None,"c(-79.45411, 43.63711)"
205,1,Marie Curtis Park East Beach,29W,2023-08-24,110,None,"c(-79.539696, 43.58592)"
206,1,Marie Curtis Park East Beach,32W,2023-08-24,40,None,"c(-79.54056, 43.58511)"
207,1,Marie Curtis Park East Beach,33W,2023-08-24,20,None,"c(-79.540886, 43.58486)"
208,1,Marie Curtis Park East Beach,31W,2023-08-24,230,None,"c(-79.54039, 43.585304)"
209,1,Marie Curtis Park East Beach,30W,2023-08-24,40,None,"c(-79.540054, 43.58561)"
210,2,Sunnyside Beach,23W,2023-08-24,NA,No data,"c(-79.461525, 43.63625)"
211,2,Sunnyside Beach,17W,2023-08-24,130,None,"c(-79.451, 43.63639)"
212,2,Sunnyside Beach,20W,2023-08-24,150,None,"c(-79.45564, 43.637165)"
213,2,Sunnyside Beach,21W,2023-08-24,480,None,"c(-79.45753, 43.63711)"
214,2,Sunnyside Beach,18W,2023-08-24,110,None,"c(-79.45267, 43.636612)"
215,2,Sunnyside Beach,22W,2023-08-24,420,None,"c(-79.46005, 43.636723)"
216,2,Sunnyside Beach,19W,2023-08-24,170,None,"c(-79.45411, 43.63711)"
217,1,Marie Curtis Park East Beach,29W,2023-08-23,220,None,"c(-79.539696, 43.58592)"
218,1,Marie Curtis Park East Beach,32W,2023-08-23,160,None,"c(-79.54056, 43.58511)"
219,1,Marie Curtis Park East Beach,33W,2023-08-23,210,None,"c(-79.540886, 43.58486)"
220,1,Marie Curtis Park East Beach,31W,2023-08-23,170,None,"c(-79.54039, 43.585304)"
221,1,Marie Curtis Park East Beach,30W,2023-08-23,170,None,"c(-79.540054, 43.58561)"
222,2,Sunnyside Beach,23W,2023-08-23,NA,No data,"c(-79.461525, 43.63625)"
223,2,Sunnyside Beach,17W,2023-08-23,150,None,"c(-79.451, 43.63639)"
224,2,Sunnyside Beach,20W,2023-08-23,20,None,"c(-79.45564, 43.637165)"
225,2,Sunnyside Beach,21W,2023-08-23,40,None,"c(-79.45753, 43.63711)"
226,2,Sunnyside Beach,18W,2023-08-23,70,None,"c(-79.45267, 43.636612)"
227,2,Sunnyside Beach,22W,2023-08-23,90,None,"c(-79.46005, 43.636723)"
228,2,Sunnyside Beach,19W,2023-08-23,70,None,"c(-79.45411, 43.63711)"
229,1,Marie Curtis Park East Beach,29W,2023-08-22,340,None,"c(-79.539696, 43.58592)"
230,1,Marie Curtis Park East Beach,32W,2023-08-22,160,None,"c(-79.54056, 43.58511)"
231,1,Marie Curtis Park East Beach,33W,2023-08-22,190,None,"c(-79.540886, 43.58486)"
232,1,Marie Curtis Park East Beach,31W,2023-08-22,270,None,"c(-79.54039, 43.585304)"
233,1,Marie Curtis Park East Beach,30W,2023-08-22,200,None,"c(-79.540054, 43.58561)"
234,2,Sunnyside Beach,23W,2023-08-22,NA,No data,"c(-79.461525, 43.63625)"
235,2,Sunnyside Beach,17W,2023-08-22,270,None,"c(-79.451, 43.63639)"
236,2,Sunnyside Beach,20W,2023-08-22,40,None,"c(-79.45564, 43.637165)"
237,2,Sunnyside Beach,21W,2023-08-22,10,None,"c(-79.45753, 43.63711)"
238,2,Sunnyside Beach,18W,2023-08-22,610,None,"c(-79.45267, 43.636612)"
239,2,Sunnyside Beach,22W,2023-08-22,180,None,"c(-79.46005, 43.636723)"
240,2,Sunnyside Beach,19W,2023-08-22,50,None,"c(-79.45411, 43.63711)"
241,1,Marie Curtis Park East Beach,29W,2023-08-21,10,<,"c(-79.539696, 43.58592)"
242,1,Marie Curtis Park East Beach,32W,2023-08-21,10,None,"c(-79.54056, 43.58511)"
243,1,Marie Curtis Park East Beach,33W,2023-08-21,10,None,"c(-79.540886, 43.58486)"
244,1,Marie Curtis Park East Beach,31W,2023-08-21,10,<,"c(-79.54039, 43.585304)"
245,1,Marie Curtis Park East Beach,30W,2023-08-21,20,None,"c(-79.540054, 43.58561)"
246,2,Sunnyside Beach,23W,2023-08-21,NA,No data,"c(-79.461525, 43.63625)"
247,2,Sunnyside Beach,17W,2023-08-21,70,None,"c(-79.451, 43.63639)"
248,2,Sunnyside Beach,20W,2023-08-21,80,None,"c(-79.45564, 43.637165)"
249,2,Sunnyside Beach,21W,2023-08-21,10,None,"c(-79.45753, 43.63711)"
250,2,Sunnyside Beach,18W,2023-08-21,50,None,"c(-79.45267, 43.636612)"
251,2,Sunnyside Beach,22W,2023-08-21,40,None,"c(-79.46005, 43.636723)"
252,2,Sunnyside Beach,19W,2023-08-21,10,None,"c(-79.45411, 43.63711)"
253,1,Marie Curtis Park East Beach,29W,2023-08-20,10,None,"c(-79.539696, 43.58592)"
254,1,Marie Curtis Park East Beach,32W,2023-08-20,10,None,"c(-79.54056, 43.58511)"
255,1,Marie Curtis Park East Beach,33W,2023-08-20,10,<10,"c(-79.540886, 43.58486)"
256,1,Marie Curtis Park East Beach,31W,2023-08-20,10,<10,"c(-79.54039, 43.585304)"
257,1,Marie Curtis Park East Beach,30W,2023-08-20,10,<10,"c(-79.540054, 43.58561)"
258,2,Sunnyside Beach,23W,2023-08-20,NA,None,"c(-79.461525, 43.63625)"
259,2,Sunnyside Beach,17W,2023-08-20,30,None,"c(-79.451, 43.63639)"
260,2,Sunnyside Beach,20W,2023-08-20,110,None,"c(-79.45564, 43.637165)"
261,2,Sunnyside Beach,21W,2023-08-20,50,None,"c(-79.45753, 43.63711)"
262,2,Sunnyside Beach,18W,2023-08-20,40,None,"c(-79.45267, 43.636612)"
263,2,Sunnyside Beach,22W,2023-08-20,20,None,"c(-79.46005, 43.636723)"
264,2,Sunnyside Beach,19W,2023-08-20,10,None,"c(-79.45411, 43.63711)"
265,1,Marie Curtis Park East Beach,29W,2023-08-19,60,None,"c(-79.539696, 43.58592)"
266,1,Marie Curtis Park East Beach,32W,2023-08-19,60,None,"c(-79.54056, 43.58511)"
267,1,Marie Curtis Park East Beach,33W,2023-08-19,20,None,"c(-79.540886, 43.58486)"
268,1,Marie Curtis Park East Beach,31W,2023-08-19,300,None,"c(-79.54039, 43.585304)"
269,1,Marie Curtis Park East Beach,30W,2023-08-19,130,None,"c(-79.540054, 43.58561)"
270,2,Sunnyside Beach,23W,2023-08-19,NA,None,"c(-79.461525, 43.63625)"
271,2,Sunnyside Beach,17W,2023-08-19,90,None,"c(-79.451, 43.63639)"
272,2,Sunnyside Beach,20W,2023-08-19,50,None,"c(-79.45564, 43.637165)"
273,2,Sunnyside Beach,21W,2023-08-19,70,None,"c(-79.45753, 43.63711)"
274,2,Sunnyside Beach,18W,2023-08-19,110,None,"c(-79.45267, 43.636612)"
275,2,Sunnyside Beach,22W,2023-08-19,100,None,"c(-79.46005, 43.636723)"
276,2,Sunnyside Beach,19W,2023-08-19,120,None,"c(-79.45411, 43.63711)"
277,1,Marie Curtis Park East Beach,29W,2023-08-18,80,None,"c(-79.539696, 43.58592)"
278,1,Marie Curtis Park East Beach,32W,2023-08-18,140,None,"c(-79.54056, 43.58511)"
279,1,Marie Curtis Park East Beach,33W,2023-08-18,150,None,"c(-79.540886, 43.58486)"
280,1,Marie Curtis Park East Beach,31W,2023-08-18,140,None,"c(-79.54039, 43.585304)"
281,1,Marie Curtis Park East Beach,30W,2023-08-18,70,None,"c(-79.540054, 43.58561)"
282,2,Sunnyside Beach,23W,2023-08-18,NA,No data,"c(-79.461525, 43.63625)"
283,2,Sunnyside Beach,17W,2023-08-18,260,None,"c(-79.451, 43.63639)"
284,2,Sunnyside Beach,20W,2023-08-18,200,None,"c(-79.45564, 43.637165)"
285,2,Sunnyside Beach,21W,2023-08-18,290,None,"c(-79.45753, 43.63711)"
286,2,Sunnyside Beach,18W,2023-08-18,210,None,"c(-79.45267, 43.636612)"
287,2,Sunnyside Beach,22W,2023-08-18,300,None,"c(-79.46005, 43.636723)"
288,2,Sunnyside Beach,19W,2023-08-18,200,None,"c(-79.45411, 43.63711)"
289,1,Marie Curtis Park East Beach,29W,2023-08-17,50,None,"c(-79.539696, 43.58592)"
290,1,Marie Curtis Park East Beach,32W,2023-08-17,50,None,"c(-79.54056, 43.58511)"
291,1,Marie Curtis Park East Beach,33W,2023-08-17,40,None,"c(-79.540886, 43.58486)"
292,1,Marie Curtis Park East Beach,31W,2023-08-17,30,None,"c(-79.54039, 43.585304)"
293,1,Marie Curtis Park East Beach,30W,2023-08-17,60,None,"c(-79.540054, 43.58561)"
294,2,Sunnyside Beach,23W,2023-08-17,NA,No data,"c(-79.461525, 43.63625)"
295,2,Sunnyside Beach,17W,2023-08-17,180,None,"c(-79.451, 43.63639)"
